Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,18926.970703,19519.439453,18805.320313,19118.990234,19118.990234,2606300000
2017-03-01,19226.939453,19668.009766,18909.259766,18909.259766,18909.259766,2646000000
2017-04-01,18988.0,19289.429688,18224.679688,19196.740234,19196.740234,2178500000
2017-05-01,19154.029297,19998.490234,19144.619141,19650.570313,19650.570313,2230200000
2017-06-01,19692.160156,20318.109375,19686.320313,20033.429688,20033.429688,2326500000
2017-07-01,20056.320313,20200.880859,19856.650391,19925.179688,19925.179688,1790600000
2017-08-01,19907.080078,20113.730469,19280.019531,19646.240234,19646.240234,1876000000
2017-09-01,19733.570313,20481.269531,19239.519531,20356.279297,20356.279297,1807500000
2017-10-01,20400.509766,22086.880859,20363.279297,22011.609375,22011.609375,1872800000
2017-11-01,22144.919922,23382.150391,21972.339844,22724.960938,22724.960938,1981200000
2017-12-01,22916.929688,22994.330078,22119.210938,22764.939453,22764.939453,1539000000
2018-01-01,23073.730469,24129.339844,23065.199219,23098.289063,23098.289063,1606300000
2018-02-01,23276.099609,23492.769531,20950.150391,22068.240234,22068.240234,1840200000
2018-03-01,21901.130859,21971.160156,20347.490234,21454.300781,21454.300781,1732700000
2018-04-01,21441.570313,22495.560547,21056.019531,22467.869141,22467.869141,1386000000
2018-05-01,22453.419922,23050.390625,21931.650391,22201.820313,22201.820313,1607600000
2018-06-01,22126.25,23011.570313,22038.400391,22304.509766,22304.509766,1513500000
2018-07-01,22233.800781,22949.320313,21462.949219,22553.720703,22553.720703,1523800000
2018-08-01,22642.179688,23032.169922,21851.320313,22865.150391,22865.150391,1515200000
2018-09-01,22819.169922,24286.099609,22172.900391,24120.039063,24120.039063,1447600000
2018-10-01,24173.369141,24448.070313,20971.929688,21920.460938,21920.460938,1822800000
2018-11-01,21906.410156,22583.429688,21243.380859,22351.060547,22351.060547,1534700000
2018-12-01,22629.390625,22698.789063,18948.580078,20014.769531,20014.769531,1529200000
2019-01-01,19655.130859,20892.679688,19241.369141,20773.490234,20773.490234,1275600000
2019-02-01,20797.029297,21610.880859,20315.310547,21385.160156,21385.160156,1276100000
2019-03-01,21490.019531,21860.390625,20911.570313,21205.810547,21205.810547,1396900000
2019-04-01,21500.890625,22362.919922,21471.119141,22258.730469,22258.730469,1187800000
2019-05-01,22184.400391,22190.490234,20581.580078,20601.189453,20601.189453,1458100000
2019-06-01,20327.869141,21497.820313,20289.640625,21275.919922,21275.919922,1195400000
2019-07-01,21566.269531,21823.070313,20993.439453,21521.529297,21521.529297,1168700000
2019-08-01,21361.580078,21556.689453,20110.759766,20704.369141,20704.369141,1373500000
2019-09-01,20625.75,22255.560547,20554.160156,21755.839844,21755.839844,1392600000
2019-10-01,21831.439453,23008.429688,21276.009766,22927.039063,22927.039063,1347900000
2019-11-01,22730.490234,23608.060547,22705.599609,23293.910156,23293.910156,1356700000
2019-12-01,23388.630859,24091.119141,23044.779297,23656.619141,23656.619141,1173000000
2020-01-01,23319.759766,24115.949219,22892.949219,23205.179688,23205.179688,1133600000
2020-02-01,22874.269531,23995.369141,20916.400391,21142.960938,21142.960938,1396200000
2020-03-01,20849.789063,21719.779297,16358.19043,18917.009766,18917.009766,3101700000
2020-04-01,18686.119141,20365.890625,17646.5,20193.689453,20193.689453,1837200000
2020-05-01,19991.970703,21955.439453,19448.929688,21877.890625,21877.890625,1539400000
2020-06-01,21910.890625,23185.849609,21529.830078,22288.140625,22288.140625,1754000000
2020-07-01,22338.300781,22965.560547,21710.0,21710.0,21710.0,1454700000
2020-08-01,21947.580078,23431.039063,21919.830078,23139.759766,23139.759766,1357300000
2020-09-01,23089.630859,23622.740234,22878.710938,23185.119141,23185.119141,1362400000
2020-10-01,23184.929688,23725.580078,22948.470703,22977.130859,22977.130859,1148600000
2020-11-01,23110.740234,26834.199219,23096.789063,26433.619141,26433.619141,1614800000
2020-12-01,26624.199219,27602.519531,26327.080078,27444.169922,27444.169922,1340300000
2021-01-01,27575.570313,28979.529297,27002.179688,27663.390625,27663.390625,1388600000
2021-02-01,27649.070313,30714.519531,27649.070313,28966.009766,28966.009766,1406000000
2021-03-01,29419.449219,30485.0,28308.570313,29178.800781,29178.800781,1956500000
2021-04-01,29441.910156,30208.890625,28419.839844,28812.630859,28812.630859,1231300000
2021-05-01,29024.009766,29685.410156,27385.029297,28860.080078,28860.080078,1313600000
2021-06-01,28998.650391,29480.849609,27795.859375,28791.529297,28791.529297,1258700000
2021-07-01,28832.410156,28852.310547,27272.490234,27283.589844,27283.589844,1108100000
2021-08-01,27493.320313,28279.800781,26954.810547,28089.539063,28089.539063,1235400000
2021-09-01,28179.039063,30795.779297,28179.039063,29452.660156,29452.660156,1561500000
2021-10-01,29235.109375,29489.109375,27293.619141,28892.689453,28892.689453,1601900000
2021-11-01,29330.679688,29960.929688,27819.140625,27821.759766,27821.759766,1433700000
2021-12-01,27866.730469,29121.009766,27588.609375,28791.710938,28791.710938,1284100000
2022-01-01,29098.410156,29388.160156,26044.519531,27001.980469,27001.980469,1387900000
2022-02-01,27167.140625,27880.699219,25775.640625,26526.820313,26526.820313,1390900000
2022-03-01,26836.740234,28338.810547,24681.740234,27821.429688,27821.429688,1882500000
2022-04-01,27624.109375,27965.939453,26051.039063,26847.900391,26847.900391,1345900000
2022-05-01,26851.099609,27463.330078,25688.109375,27279.800781,27279.800781,1582900000
2022-06-01,27295.630859,28389.75,25520.230469,26393.039063,26393.039063,1637700000
2022-07-01,26460.710938,28015.679688,25841.75,27801.640625,27801.640625,1339300000
2022-08-01,27813.820313,29222.769531,27530.599609,28091.529297,28091.529297,1397800000
2022-09-01,27797.0,28659.759766,25805.589844,25937.210938,25937.210938,1377200000
2022-10-01,25778.949219,27602.990234,25621.960938,27587.460938,27587.460938,1435500000
2022-11-01,27614.640625,28502.289063,27032.019531,27968.990234,27968.990234,1555800000
2022-12-01,28273.130859,28423.460938,25953.919922,26094.5,26094.5,1484200000
2023-01-01,25834.929688,27502.150391,25661.890625,27327.109375,27327.109375,1364600000
2023-02-01,27483.410156,27821.220703,27046.080078,27445.560547,27445.560547,1369700000
2023-03-01,27363.570313,28734.789063,26632.919922,28041.480469,28041.480469,1782200000
2023-04-01,28203.349609,28879.240234,27427.660156,28856.439453,28856.439453,1305200000
2023-05-01,29058.050781,31560.429688,28931.810547,30887.880859,30887.880859,1779800000
2023-06-01,30886.009766,33772.890625,30853.439453,33189.039063,33189.039063,2093700000
2023-07-01,33517.601563,33762.808594,31791.710938,33172.21875,33172.21875,1923900000
2023-08-01,33292.308594,33488.769531,31275.25,32619.339844,32619.339844,1973300000
2023-09-01,32521.150391,33634.308594,31674.419922,31857.619141,31857.619141,2103300000
2023-10-01,32101.970703,32533.080078,30487.669922,30858.849609,30858.849609,2095900000
2023-11-01,31311.220703,33853.460938,31301.509766,33486.890625,33486.890625,2121500000
2023-12-01,33537.441406,33824.058594,32205.380859,33464.171875,33464.171875,2079300000
